episodes,rewards,steps
0,25.0,25
1,11.0,11
2,32.0,32
3,11.0,11
4,14.0,14
5,11.0,11
6,23.0,23
7,27.0,27
8,10.0,10
9,21.0,21
10,15.0,15
11,26.0,26
12,22.0,22
13,14.0,14
14,14.0,14
15,21.0,21
16,10.0,10
17,19.0,19
18,18.0,18
19,26.0,26
20,29.0,29
21,40.0,40
22,35.0,35
23,33.0,33
24,47.0,47
25,50.0,50
26,21.0,21
27,30.0,30
28,26.0,26
29,40.0,40
30,31.0,31
31,54.0,54
32,59.0,59
33,50.0,50
34,26.0,26
35,34.0,34
36,25.0,25
37,166.0,166
38,35.0,35
39,25.0,25
40,110.0,110
41,22.0,22
42,57.0,57
43,45.0,45
44,35.0,35
45,45.0,45
46,51.0,51
47,32.0,32
48,67.0,67
49,46.0,46
50,61.0,61
51,49.0,49
52,47.0,47
53,37.0,37
54,32.0,32
55,31.0,31
56,33.0,33
57,93.0,93
58,60.0,60
59,128.0,128
60,200.0,200
61,47.0,47
62,47.0,47
63,63.0,63
64,68.0,68
65,45.0,45
66,101.0,101
67,47.0,47
68,49.0,49
69,54.0,54
70,42.0,42
71,77.0,77
72,67.0,67
73,41.0,41
74,89.0,89
75,51.0,51
76,54.0,54
77,37.0,37
78,49.0,49
79,46.0,46
80,31.0,31
81,43.0,43
82,60.0,60
83,41.0,41
84,40.0,40
85,28.0,28
86,50.0,50
87,159.0,159
88,30.0,30
89,34.0,34
90,70.0,70
91,22.0,22
92,39.0,39
93,50.0,50
94,40.0,40
95,37.0,37
96,121.0,121
97,26.0,26
98,40.0,40
99,30.0,30
100,35.0,35
101,40.0,40
102,28.0,28
103,29.0,29
104,42.0,42
105,54.0,54
106,25.0,25
107,47.0,47
108,32.0,32
109,50.0,50
110,30.0,30
111,58.0,58
112,32.0,32
113,43.0,43
114,57.0,57
115,20.0,20
116,48.0,48
117,45.0,45
118,47.0,47
119,69.0,69
120,34.0,34
121,22.0,22
122,22.0,22
123,38.0,38
124,36.0,36
125,41.0,41
126,28.0,28
127,35.0,35
128,48.0,48
129,51.0,51
130,51.0,51
131,36.0,36
132,45.0,45
133,27.0,27
134,40.0,40
135,43.0,43
136,64.0,64
137,43.0,43
138,37.0,37
139,38.0,38
140,69.0,69
141,36.0,36
142,28.0,28
143,58.0,58
144,43.0,43
145,50.0,50
146,30.0,30
147,42.0,42
148,42.0,42
149,35.0,35
150,67.0,67
151,45.0,45
152,28.0,28
153,59.0,59
154,64.0,64
155,67.0,67
156,41.0,41
157,81.0,81
158,76.0,76
159,91.0,91
160,119.0,119
161,47.0,47
162,64.0,64
163,178.0,178
164,97.0,97
165,181.0,181
166,166.0,166
167,79.0,79
168,141.0,141
169,119.0,119
170,81.0,81
171,124.0,124
172,150.0,150
173,98.0,98
174,164.0,164
175,200.0,200
176,115.0,115
177,116.0,116
178,160.0,160
179,103.0,103
180,181.0,181
181,185.0,185
182,93.0,93
183,110.0,110
184,200.0,200
185,141.0,141
186,150.0,150
187,121.0,121
188,110.0,110
189,115.0,115
190,114.0,114
191,45.0,45
192,125.0,125
193,142.0,142
194,54.0,54
195,62.0,62
196,122.0,122
197,58.0,58
198,88.0,88
199,141.0,141
200,113.0,113
201,200.0,200
202,136.0,136
203,114.0,114
204,102.0,102
205,176.0,176
206,150.0,150
207,105.0,105
208,200.0,200
209,200.0,200
210,167.0,167
211,104.0,104
212,124.0,124
213,96.0,96
214,200.0,200
215,199.0,199
216,200.0,200
217,132.0,132
